"ICAO Code","IATA Type Code","Model","Wikipedia Link"
"C680","CNJ","Cessna Citation Sovereign","https://en.wikipedia.org/wiki/Cessna_Citation_Sovereign"
"C68A","CNJ","Cessna Citation Latitude","https://en.wikipedia.org/wiki/Cessna_Citation_Latitude"
"C700","CNJ","Cessna Citation Longitude","https://en.wikipedia.org/wiki/Cessna_Citation_Longitude"
"C750","CNJ","Cessna Citation X","https://en.wikipedia.org/wiki/Cessna_Citation_X"
"C919","919","Comac C919","https://en.wikipedia.org/wiki/Comac_C919"
"CL2T","","Bombardier 415","https://en.wikipedia.org/wiki/Bombardier_415"
"CL30","","Bombardier BD-100 Challenger 300","https://en.wikipedia.org/wiki/Bombardier_Challenger_300"
"CL60","CCJ","Canadair Challenger 600","https://en.wikipedia.org/wiki/Bombardier_Challenger_600_series"
"CN35","CS5","CASA/IPTN CN-235","https://en.wikipedia.org/wiki/CASA/IPTN_CN-235"
"CRJ1","CR1","Canadair Regional Jet 100","https://en.wikipedia.org/wiki/Bombardier_CRJ200"
"CRJ2","CR2","Canadair Regional Jet 200","https://en.wikipedia.org/wiki/Bombardier_CRJ200"
"CRJ7","CR7","Canadair Regional Jet 700 | Regional Jet 550","https://en.wikipedia.org/wiki/Bombardier_CRJ700_series"
"CRJ9","CR9","Canadair Regional Jet 900","https://en.wikipedia.org/wiki/Bombardier_CRJ700_series#CRJ705"
"CRJX","CRK","Canadair Regional Jet 1000","https://en.wikipedia.org/wiki/Bombardier_CRJ700_series#CRJ1000"
"CVLT","CV5","Convair CV-580, Convair CV-600, Convair CV-640","https://en.wikipedia.org/wiki/Convair_CV-240_family"
"D228","D28","Dornier 228","https://en.wikipedia.org/wiki/Dornier_228"
"D328","D38","Fairchild Dornier Do.328","https://en.wikipedia.org/wiki/Dornier_328"
"DC10","D11","Douglas DC-10-10 / -15 Passenger","https://en.wikipedia.org/wiki/Douglas_DC-10"
"DC10","D1C","Douglas DC-10-30 / -40 Passenger","https://en.wikipedia.org/wiki/Douglas_DC-10"
"DC10","D1M","Douglas DC-10-30 Combi","https://en.wikipedia.org/wiki/Douglas_DC-10"
"DC10","D1X","Douglas DC-10-10 Freighter","https://en.wikipedia.org/wiki/Douglas_DC-10"
"DC10","D1Y","Douglas DC-10-30 / -40 Freighter","https://en.wikipedia.org/wiki/Douglas_DC-10"
"DC85","D8T","Douglas DC-8-50","https://en.wikipedia.org/wiki/Douglas_DC-8"
"DC86","D8L","Douglas DC-8-62","https://en.wikipedia.org/wiki/Douglas_DC-8"
"DC87","D8Q","Douglas DC-8-72","https://en.wikipedia.org/wiki/Douglas_DC-8"
"DC91","D91","Douglas DC-9-10","https://en.wikipedia.org/wiki/Douglas_DC-9"
"DC92","D92","Douglas DC-9-20","https://en.wikipedia.org/wiki/Douglas_DC-9"
"DC93","D93","Douglas DC-9-30","https://en.wikipedia.org/wiki/Douglas_DC-9"
"DC94","D94","Douglas DC-9-40","https://en.wikipedia.org/wiki/Douglas_DC-9"
"DC95","D95","Douglas DC-9-50","https://en.wikipedia.org/wiki/Douglas_DC-9"
"DH8A","DH1","De Havilland Canada DHC-8-100 Dash 8 / 8Q","https://en.wikipedia.org/wiki/Bombardier_Dash_8"
"DH8B","DH2","De Havilland Canada DHC-8-200 Dash 8 / 8Q","https://en.wikipedia.org/wiki/Bombardier_Dash_8"
"DH8C","DH3","De Havilland Canada DHC-8-300 Dash 8 / 8Q","https://en.wikipedia.org/wiki/Bombardier_Dash_8"
"DH8D","DH4","De Havilland Canada DHC-8-400 Dash 8Q","https://en.wikipedia.org/wiki/Bombardier_Dash_8"
"DHC5","DHC","De Havilland Canada DHC-5 Buffalo","https://en.wikipedia.org/wiki/De_Havilland_Canada_DHC-5_Buffalo"
"DHC6","DHT","De Havilland Canada DHC-6 Twin Otter","https://en.wikipedia.org/wiki/De_Havilland_Canada_DHC-6_Twin_Otter"
"DHC7","DH7","De Havilland Canada DHC-7 Dash 7","https://en.wikipedia.org/wiki/De_Havilland_Canada_DHC-7_Dash_7"
"E110","EMB","Embraer EMB 110 Bandeirante","https://en.wikipedia.org/wiki/Embraer_EMB_110_Bandeirante"
"E120","EM2","Embraer EMB 120 Brasilia","https://en.wikipedia.org/wiki/Embraer_EMB_120_Brasilia"
"E135","ER3","Embraer RJ135","https://en.wikipedia.org/wiki/Embraer_RJ135"
"E135","ERD","Embraer RJ140","https://en.wikipedia.org/wiki/Embraer_ERJ_145_family"
